Corporation,ROE - Return On Equity,Net Profit Margin,Operating Cash Flow Per Share,Debt/Equity Ratio
"FISERV, INC.",14.9478,11.0049,0.0596,1.0421
FLOWSERVE CORPORATION,23.7955,9.4361,1.9771,0.4902
FLUOR CORPORATION,16.6633,1.6547,-1.5137,0.1579
FMC CORPORATION,32.2291,12.0509,0.2353,0.6331
"FREEPORT-MCMORAN, INC",18.6758,16.8851,-2.9759,0.1655
"FairPoint Communications, Inc.",4.4134,6.1232,-0.0177,0.357
Ferro Corp.,-186.8179,-29.5235,-0.3392,1.6779
"Fidelity National Information Services, Inc.",7.4363,8.3476,0.7725,0.7231
"Forum Energy Technologies, Inc.",13.0387,10.7041,20.0945,0.362
Freeport-McMoRan Inc.,18.6758,16.8851,-2.9759,0.1655
Fresenius Medical Care AG & Co. KGaA,11.4949,9.6155,4.2968,0.8528
"GAP, INC",39.2191,7.2519,1.41,0.4305
GENERAL CABLE CORPORATION,8.3088,1.3824,-0.1228,1.0562
"GENERAL MILLS, INC",26.5484,10.4377,0.7854,1.1179
"GILEAD SCIENCES, INC",40.6133,33.4348,0.6804,1.1293
GLAXOSMITHKLINE PLC,63.8223,19.9292,-0.166,1.6881
"General Mills, Inc.",26.5484,10.4377,0.7854,1.1179
GlaxoSmithKline plc,63.8223,19.9292,-0.166,1.6881
Global One Real Estate Investment Corporation,27.8696,-279.1233,-16.1642,1.25
"Global Ship Lease, Inc.",8.7095,20.8401,1.4395,1.1612
"H&R BLOCK, INC",36.8137,14.9331,0.5994,0.7176
HALLIBURTON COMPANY,16.3838,9.2446,-0.0582,0.3053
HANESBRANDS INC.,26.2095,3.6388,0.9433,1.7111
"HARLEY-DAVIDSON, INC",22.6455,11.2791,-1.1867,2.3645
HARSCO CORPORATION,-29.3843,-8.3588,-1.2342,1.1249
"HASBRO, INC",27.1861,8.9922,0.4335,1.1155
HCA HEALTHCARE INC,-40.519,8.3047,0.8764,-3.8569
HERSHEY COMPANY,71.3964,10.3434,-1.3571,2.1434
HESS CORPORATION,8.2347,7.939,0.8647,0.3258
HONEYWELL INTERNATIONAL INC,22.434,7.7685,0.8624,0.5737
HORMEL FOODS CORPORATION,17.8752,6.0754,0.0609,0.0885
"HOVNANIAN ENTERPRISES, INC",10.6659,-4.4567,38.3681,-3.5166
Hasbro Inc.,27.1861,8.9922,0.4335,1.1155
Hub International Limited,13.2565,2.1144,1.0128,0.0585
"HudBay Minerals, Inc.",2.0543,-3.013,1.3181,0.2727
Huntsman International LLC,19.9367,3.2448,1.7069,1.9546
"IDACORP, INC",9.9192,16.01,-1.2758,0.9206
IDEX CORPORATION,12.8116,10.5446,0.3501,0.5345
ILLINOIS TOOL WORKS INC,21.1258,19.4037,0.424,0.4776
INGREDION INCORPORATED,19.8312,6.6892,-1.2939,0.9137
INTEL CORPORATION,21.4929,20.6314,-0.2144,0.2626
"INTERDIGITAL, INC",52.4005,40.9922,4.839,0.3863
INTERPUBLIC GROUP OF,24.2332,7.4231,-1.0018,0.7084
"IRON MOUNTAIN, INC",15.7174,5.6899,-0.6663,3.2905
"Information Resources, Inc.",13.1789,4.0633,1.1757,0.1975
Ingles Markets Inc.,9.4978,1.1684,1.0485,1.8259
JABIL INC,15.8344,2.4453,-0.7482,0.7955
JETBLUE AIRWAYS CORPORATION,4.8947,1.9094,0.2632,1.7849
JOHNSON & JOHNSON,16.2188,16.1445,0.322,0.2494
JOHNSON CONTROLS INTERNATIONAL,5.8374,2.458,0.0509,0.051
"JUNIPER NETWORKS, INC.",2.6645,4.2722,-0.6106,0.1428
"Jazz Pharmaceuticals, Inc.",23.29,49.2485,0.9096,0.4074
KENNAMETAL INC.,11.4174,7.85,-0.0309,0.4127
KIMBERLY-CLARK CORPORATION,30.7736,8.9896,2.5608,1.1699
KOHL'S CORPORATION,16.3029,5.1144,-2.5554,0.7528
KONINKLIJKE PHILIPS NV,5.0699,-5.7177,-1.8033,0.3116
Korea Electric Power Corporation,-6.0276,-6.4466,-3.2576,1.0544
LEAR CORPORATION,36.4653,8.8062,-0.1208,0.1734
LOCKHEED MARTIN CORPORATION,7038.461,5.8179,-7.7591,161.7436
LSB Industries Inc.,16.7245,7.6814,0.3054,0.2305
"LSB Industries, Inc.",16.7245,7.6814,0.3054,0.2305
Las Vegas Sands LLC,21.7339,13.6922,0.4287,1.1815
Lear Corp.,36.4653,8.8062,-0.1208,0.1734
Lions Gate Entertainment Corp.,65.108,8.5715,6.9357,4.0023
"M.D.C. HOLDINGS, INC",7.1176,5.1203,-0.4228,0.9322
"M/I HOMES, INC",5.5821,1.7518,-0.5463,1.0859
"MAGELLAN MIDSTREAM PARTNERS,",28.7438,24.5853,0.2979,1.5791
MANPOWERGROUP INC.,10.1313,1.1433,-1.4124,0.282
MARATHON OIL CORPORATION,4.6819,13.2208,-3.4796,0.3772
"MARTIN MARIETTA MATERIALS,",5.493,4.8073,-0.2513,0.7317
"MASTEC, INC",13.5332,2.8825,1.8626,0.6949
MCCORMICK & COMPANY,22.7209,10.1589,0.4282,0.6892
MCKESSON CORPORATION,19.2786,1.095,-1.3639,0.6893
MDU Resources Group Inc.,8.185,5.2424,0.3867,0.5133
"MERITOR, INC",-8.1466,1.1861,0.3691,-1.0794
MGM RESORTS INTERNATIONAL,32.735,39.6804,0.0848,1.3631
"MICRON TECHNOLOGY, INC",6.5886,8.0543,0.1041,0.5086
MICROSOFT CORPORATION,27.6943,28.0839,-0.314,0.1976
"MOHAWK INDUSTRIES, INC.",5.2177,3.0825,-0.2836,0.4644
"MONDELEZ INTERNATIONAL, INC",4.9543,8.7591,-0.358,0.5992
MOSAIC COMPANY,14.0729,18.936,-1.7939,0.0803
"MOTOROLA SOLUTIONS, INC",20.3647,14.0533,-0.23,0.5663
MURPHY OIL CORPORATION,6.1423,20.3965,-5.1673,0.0683
Mercer International Inc.,-3.6684,-1.4608,-1.6492,2.6005
Michael Baker International LLC,7.6268,6.1374,0.7204,0.2847
"Michael Baker International, LLC",7.6268,6.1374,0.7204,0.2847
Murphy Oil USA Inc.,6.1423,20.3965,-5.1673,0.0683
NABORS INDUSTRIES LTD,6.1981,4.0616,58.1239,0.8255
"NASDAQ, INC",7.6815,11.2565,1.5858,0.4246
NATIONAL FUEL GAS COMPANY,11.2279,13.5278,0.0539,0.801
NEKTAR THERAPEUTICS,-365.509,-211.6675,-0.123,2.9054
NEWELL BRANDS INC,19.5231,7.2851,0.2116,0.9591
"NEXTERA ENERGY, INC.",12.8689,12.535,0.11,1.537
NGL Energy Partners LP,5.4182,1.0191,-1.2326,0.8422
"NORDSTROM, INC",38.4213,6.0574,-0.0364,1.6367
NORFOLK SOUTHERN CORPORATION,17.9201,15.7609,0.2391,0.8895
NORTHROP GRUMMAN CORPORATION,20.7904,7.8436,2.9076,0.4131
NOVARTIS AG,13.7592,17.8369,-0.1247,0.2848
"NRG ENERGY, INC.",3.0675,3.3959,0.0721,1.5101
NUCOR CORPORATION,11.1721,3.8731,0.5123,0.5556
NVIDIA Corp.,14.0166,14.5348,0.0818,0.0052
National Grid Gas Plc,19.6082,14.7339,-2.2136,2.4903
National Grid Gas plc,19.6082,14.7339,-2.2136,2.4903
Netflix Inc,2.3033,0.4752,-0.7824,0.5371
OCCIDENTAL PETROLEUM,9.561,22.8756,-1.1582,0.1903
OGE ENERGY CORP.,12.5309,9.6699,1.0797,1.0674
OLIN CORPORATION,24.5182,12.3247,1.2264,0.5441
OMNICOM GROUP INC,28.2461,6.8625,0.7324,1.1261
"ONEOK, INC.",16.0131,3.541,-1.6526,1.735
ORACLE CORPORATION,24.1998,29.3841,0.239,0.4097
OTTER TAIL CORPORATION,8.8192,-0.8461,3.5512,0.7849
"OWENS & MINOR, INC",11.1952,1.2207,2.3897,0.2212
PACCAR INC,19.43,6.3729,0.134,1.2407
PEABODY ENERGY CORPORATION,18.3618,12.062,2.0144,1.207
"PEPSICO, INC",27.5908,9.4225,-0.217,1.2661
"PERKINELMER, INC",0.0636,0.399,0.5827,0.5129
PFIZER INC.,9.5185,16.3988,1.1532,0.4713
PG&E CORPORATION,6.2284,5.4255,2.1861,1.0062
PILGRIM'S PRIDE CORPORATION,-88.7649,-6.5922,-0.6382,2.6388
PINNACLE WEST CAPITAL,10.2136,11.5556,0.3506,0.8322
PIONEER NATURAL RESOURCES,7.2161,32.5997,1.7852,0.4475
PITNEY BOWES INC,-1149.999,14.968,0.0751,-108.6008
"PLAINS ALL AMERICAN PIPELINE,",15.7711,2.0742,-4.1292,1.0364
"PPG INDUSTRIES, INC",15.7335,7.4176,1.2536,0.9278
PUBLIC SERVICE ENTERPRISE,11.8264,13.0355,-1.519,0.7608
PVH CORP,13.3372,6.97,0.9784,0.7104
PVH Corp.,13.3372,6.97,0.9784,0.7104
"Penn National Gaming, Inc.",12.2919,7.1565,-1.0164,1.0363
Public Service Enterprise Group Inc.,11.8264,13.0355,-1.519,0.7608
QUEST DIAGNOSTICS INCORPORATED,13.2975,6.3718,-0.7115,1.0834
RANGE RESOURCES CORPORATION,0.5515,0.8604,0.075,1.2209
RAYONIER INC.,20.9115,19.4238,-0.6177,0.6404
"REPUBLIC SERVICES, INC",7.4244,7.0433,-0.5651,0.9176
RIO TINTO PLC,16.0459,-5.894,-5.3511,0.4622
RITE AID CORPORATION,8.2135,7.997,0.0747,0.3643
"ROCKWELL AUTOMATION, INC",39.8013,11.7743,0.5787,0.5735
"ROPER TECHNOLOGIES, INC",13.372,15.2747,0.9465,0.3396
Republic Services Inc.,7.4244,7.0433,-0.5651,0.9176
"Rogers Communications, Inc.",48.5122,12.5764,0.924,2.8091
SBA Communications Corp.,-28.13,-18.975,0.6025,8.2024
SCOTTS MIRACLE-GRO COMPANY,18.5413,3.8441,0.6258,1.3002
SEMPRA ENERGY,8.628,8.9043,0.4501,1.2068
SERVICE CORPORATION,11.386,6.3984,0.0456,1.4294
SHAW COMMUNICATIONS INC. CLASS,18.3181,15.226,0.0529,1.3043
SHERWIN-WILLIAMS COMPANY,37.3234,6.5648,0.5266,0.9515
SILGAN HOLDINGS INC,29.3579,5.5047,1.3303,2.0916
"SINCLAIR BROADCAST GROUP, INC.",-144.4114,13.6262,1.0765,-22.7218
"SK Telecom Co., Ltd.",10.0433,7.6992,-4.3382,0.5322
SNAP-ON INCORPORATED,17.2952,10.419,3.4017,0.5363
SONOCO PRODUCTS COMPANY,15.297,4.8349,-1.2577,0.9026
SONY CORP.,1.6039,1.5315,-1.53,0.6537
SOUTHERN COPPER CORPORATION,40.5373,29.0082,-0.0714,0.8799
SOUTHWEST AIRLINES CO,6.0212,2.4637,0.9769,0.4984
"SOUTHWEST GAS HOLDINGS, INC.",10.1367,6.9163,2.8535,1.0077
"STANLEY BLACK & DECKER, INC.",8.5852,7.1946,0.9491,0.4885
STARBUCKS CORPORATION,27.074,10.4227,0.0847,0.1075
"STEEL DYNAMICS, INC",11.5523,3.4776,1.3396,1.0349
STMicroelectronics N.V.,1.9385,6.6769,-0.996,0.1958
STONEMOR PARTNERS L.P.,-2.2288,-1.2172,1.3518,1.886
STRYKER CORPORATION,15.0983,14.9937,0.6448,0.205
SUNPOWER CORPORATION,-48.1466,-25.8484,-2.5432,0.7738
SYSCO CORPORATION,23.9397,2.6464,0.5299,0.6443
Scientific Games Corp.,-12.034,-6.7413,-0.1156,4.0247
Scientific Games International Inc.,-12.034,-6.7413,-0.1156,4.0247
SeaWorld Parks & Entertainment Inc.,16.4991,5.2131,0.3135,4.0546
Service Corp. International,11.386,6.3984,0.0456,1.4294
"Sportsman's Warehouse, Inc.",-67.0921,5.3277,1.3944,-2.9827
StoneMor Partners L.P.,-2.2288,-1.2172,1.3518,1.886
"T-MOBILE US, INC",-119.9673,-37.2027,-2.0886,2.6355
TARGET CORPORATION,20.0205,4.0913,0.0824,1.0658
TE CONNECTIVITY LTD,14.617,8.3722,0.5121,0.4652
TEGNA Inc.,3.2923,-6.1002,0.0177,-1.4075
TELEFONICA SA,14.6499,7.0611,-1.0463,2.4169
TENET HEALTHCARE CORPORATION,8.8946,0.6702,0.7298,2.9223
TENNECO INC,104.4674,3.7349,1.993,4.055
TERADYNE INC,22.8534,25.8822,-1.285,0.108
TEREX CORPORATION,3.6824,1.5153,2.3612,1.0332
TEXAS INSTRUMENTS INCORPORATED,16.0478,13.4737,0.1986,0.5187
TEXTRON INC,19.4249,4.8133,-0.3137,1.333
THERMO FISHER SCIENTIFIC INC.,6.8054,11.5055,0.736,0.4673
THOMSON REUTERS CORPORATION,-8.3343,-10.0674,-0.0865,0.4534
TIMKEN COMPANY,14.7556,14.7492,4.2718,0.2132
TMS International Corp.,-43.3016,-28.6695,0.0653,0.9886
TMS International Corporation,-43.3016,-28.6695,0.0653,0.9886
"TOLL BROTHERS, INC",15.5744,25.8738,-1.357,0.7203
TRANSALTA CORPORATION,4.4913,-24.1379,-0.9516,1.2626
"TRINITY INDUSTRIES, INC",11.7842,6.6948,2.6877,1.4292
TUPPERWARE BRANDS CORPORATION,40.2839,7.4696,0.8222,1.2895
Taiwan Semiconductor Manufacturing Co Ltd,22.8676,32.823,0.2954,0.1611
Tenet Healthcare Corporation,8.8946,0.6702,0.7298,2.9223
"Tenneco, Inc.",104.4674,3.7349,1.993,4.055
Teva Pharmaceutical Industries Limited,8.3526,9.6619,0.6078,0.6436
Teva Pharmaceutical Industries Ltd,8.3526,9.6619,0.6078,0.6436
Texas Eastern Transmission LP,16.0478,13.4737,0.1986,0.5187
Timken Co. (The),14.7556,14.7492,4.2718,0.2132
Titan International Inc.,16.7053,5.8896,2.298,0.9286
TriMas Company LLC,12.0001,2.673,-0.8253,1.3915
Trimas Company LLC,12.0001,2.673,-0.8253,1.3915
Triumph Group Inc.,14.5391,8.0305,1.7279,0.6502
UGI CORPORATION,5.9631,3.2233,0.8851,1.1098
UNION PACIFIC CORPORATION,19.837,18.8426,0.4702,0.4526
UNISYS CORPORATION,-8.5292,3.4913,-0.4539,-0.1324
"UNITED PARCEL SERVICE, INC",53.5172,7.1632,3.3137,1.5656
"UNITED RENTALS, INC",4.7649,1.8217,-0.7421,4.6785
UNITED STATES CELLULAR,3.7172,2.4933,-1.0097,0.2316
UNITEDHEALTH GROUP,17.724,4.9956,0.43,0.5374
UNIVERSAL CORP,13.1132,4.7894,1.1833,0.3866
"UNIVERSAL HEALTH SERVICES,",17.681,6.3701,0.9672,1.3486
Union Pacific Corp.,19.837,18.8426,0.4702,0.4526
V.F. CORPORATION,21.1904,9.9817,0.4192,0.3599
VECTOR GROUP LTD,-38.6388,2.7397,0.3963,-10.042
VERISK ANALYTICS INC,124.2075,23.3791,0.5592,5.7178
VERTEX PHARMACEUTICALS,2.6986,-7.0091,0.5559,0.5828
VULCAN MATERIALS COMPANY,-1.9848,-2.7599,-0.2764,0.7425
WALGREENS BOOTS ALLIANCE INC,11.6637,2.9693,1.0942,0.2957
WEATHERFORD INTERNATIONAL PLC,-8.5053,-5.1134,0.475,0.9791
WEC ENERGY GROUP INC,12.9387,11.7288,0.7964,1.3313
WENDY'S COMPANY,0.4007,0.2827,-0.1203,0.734
WILLIAMS COMPANIES INC.,12.5084,11.4748,-2.8155,1.4455
"WORTHINGTON INDUSTRIES, INC",15.6878,5.2232,1.356,0.5974
WPP PLC,12.6717,7.9311,1.0274,0.6751
"WYNN RESORTS, LIMITED",37.1095,11.6394,3.5314,1.4999
XCEL ENERGY INC.,9.9169,7.831,0.8665,1.194
XEROX CORPORATION,10.869,5.8037,-2.5883,0.6977
"YUM! BRANDS, INC.",69.6764,10.4467,0.462,1.7312
Zoetis Inc.,10.7894,10.0554,-0.086,0.144
AECOM,11.7254,2.9342,0.1346,0.5657
ALBEMARLE CORPORATION,16.8657,12.3667,0.1127,0.3619
"AMAZON.COM, INC",2.8114,0.368,2.5468,0.3274
AMERICAN STATES WATER COMPANY,12.7306,13.2021,0.8389,0.675
"AMERICAN WATER WORKS COMPANY,",7.8472,12.817,-0.3729,1.2426
Acadia Healthcare Company Inc.,9.0013,5.9684,0.4284,1.2838
Accenture plc,50.5297,9.2283,0.4044,0.0043
Albemarle Corp.,16.8657,12.3667,0.1127,0.3619
Albemarle Corporation,16.8657,12.3667,0.1127,0.3619
Alibaba Group Holding Limited,76.9325,43.956,0.8484,1.0091
Allegiant Travel Company,19.5194,8.6492,2.3779,0.3755
"Amazon.com, Inc.",2.8114,0.368,2.5468,0.3274
AmerisourceBergen Corporation,21.2711,0.4931,-1.7327,0.6021
Apple Inc.,29.9776,21.6705,0.1359,0.1373
Asbury Automotive Group Inc.,20.6802,1.7709,4.9012,2.539
Atkore International Inc.,-41.9042,-6.0489,0.8235,3.9263
"BIO-RAD LABORATORIES, INC",3.5583,3.6475,-3.4526,0.2
BIOMARIN PHARMACEUTICAL INC.,-13.1505,-32.1528,-0.5626,0.4888
BOTTOMLINE TECHNOLOGIES,-4.931,-6.3556,0.2447,0.3841
BROOKDALE SENIOR LIVING INC,-0.3511,-0.1239,0.5752,2.5825
Becton Dickinson & Co.,23.4514,14.0303,0.2114,0.7859
Berry Global Inc.,-29.0816,1.2266,-1.6456,-20.1327
"Bio-Rad Laboratories, Inc.",3.5583,3.6475,-3.4526,0.2
"BorgWarner, Inc.",17.922,8.395,-0.5125,0.3366
CAESARS ENTERTAINMENT,25.0043,7.6449,-0.2071,2.2595
CARLISLE COMPANIES,11.8423,7.1254,-1.2396,0.3781
CHESAPEAKE ENERGY CORPORATION,5.9292,2.4843,2.6538,0.7104
"Caesars Entertainment Operating Company, Inc.",25.0043,7.6449,-0.2071,2.2595
Caesars Entertainment Resort Properties Finance Inc.,25.0043,7.6449,-0.2071,2.2595
Charter Communications Inc.,-111.9205,-2.0723,2.5946,93.9139
"Charter Communications, Inc.",-111.9205,-2.0723,2.5946,93.9139
Chesapeake Energy Corp.,5.9292,2.4843,2.6538,0.7104
Chesapeake Energy Corporation,5.9292,2.4843,2.6538,0.7104
China State Construction International Holdings Limited,-5.0978,-0.9848,-1.0877,0.9431
Churchill Downs Inc.,7.8084,7.0472,-0.0558,0.5252
"Cogent Communications Finance, Inc.",29.2979,16.2909,-0.0148,2.5638
Compass Minerals International Inc.,23.6016,11.4908,7.1305,0.8636
Consolidated Communications Finance II Co.,19.6693,5.1217,0.5775,8.0208
"Cooper Companies, Inc. (The)",12.2512,18.6525,1.96,0.1422
"Delta Air Lines, Inc.",90.5265,27.9035,2.3365,0.9741
"Diamondback Energy, Inc.",6.4559,26.2435,3.6866,0.544
"ENPRO INDUSTRIES, INC.",4.5858,2.3947,-2.4977,0.7471
Eastman Chemical Company,14.6301,5.3937,3.1978,1.5796
Edgewell Personal Care,4.6829,5.7102,-4.3144,0.912
"EnPro Industries, Inc.",4.5858,2.3947,-2.4977,0.7471
Exxon Mobil Corporation,27.7764,9.3368,0.7842,0.0675
FMC Corp.,29.7916,12.147,-0.0694,0.6203
"FleetCor Technologies Operating Co., LLC",23.6588,30.5567,-1.7626,0.6862
FleetCor Technologies Operating Company LLC,23.6588,30.5567,-1.7626,0.6862
Galapagos Holding S.A.,-4.8338,-5.0636,-3.0817,0.0024
GameStop Corp.,15.7324,3.9184,1.6142,0.0018
General Cable Corp.,24.7251,4.0645,0.0173,0.584
GlaxoSmithKline Capital Plc,82.0514,17.9486,-1.1095,2.7126
Global Partners LP,8.8633,0.1996,0.5082,2.0582
Great Plains Energy Inc.,7.2012,10.1623,0.5445,1.0533
Great Plains Energy Incorporated,7.2012,10.1623,0.5445,1.0533
Green Plains Inc.,2.3982,0.3388,-3.055,1.3522
HILTON WORLDWIDE HOLDINGS INC,10.7577,4.263,3.2135,2.7603
"Hemisphere Media Holdings, LLC",-1.7846,-4.9962,0.2245,0.7163
Hess Corp,8.5271,16.5374,1.9693,0.3825
Huntington Ingalls Industries Inc.,17.1598,3.827,-1.9442,1.1696
INTUIT INC,27.7128,21.3764,0.4608,0.1621
"Illumina, Inc.",11.471,13.1695,-0.3945,0.6388
"Iron Mountain Information Management, LLC",9.4283,3.1892,0.1631,3.9665
JetBlue Airways Corp.,6.7797,2.5692,0.2563,1.5101
"Johnson (S.C.) & Son, Inc.",18.6772,19.3951,0.5789,0.2455
KRAFT HEINZ COMPANY,21.2454,8.7865,-0.7889,1.924
Kosmos Energy Ltd.,-9.1747,-10.684,0.3873,0.907
"Kosmos Energy, Ltd.",-9.1747,-10.684,0.3873,0.907
Kratos Defense & Security Solutions Inc.,-9.973,-4.4071,-0.7295,2.1795
Kronos Worldwide Inc.,-10.9079,-5.8878,0.4616,0.1962
LENNOX INTERNATIONAL INC.,37.0393,5.3703,-0.1513,0.8244
LIBERTY MEDIA CORP.,37.6476,219.3903,3.5209,0.2326
"Lee Enterprises, Inc.",45.0692,-11.555,1.1289,-4.9181
"Lee Enterprises, Incorporated",45.0692,-11.555,1.1289,-4.9181
Live Nation Entertainment Inc.,-2.2654,-0.6783,0.2612,1.1378
LyondellBasell Investment LLC,25.5658,6.2732,3.2964,0.3936
MICROCHIP TECHNOLOGY,18.5103,20.468,0.4382,0.478
McKesson Canada,19.2786,1.095,-1.3639,0.6893
McKesson Corp.,19.2786,1.095,-1.3639,0.6893
Minerals Technologies Inc.,9.6716,7.4338,0.2522,0.1138
"Murphy Oil USA, Inc.",9.0191,21.0164,3.926,0.2511
NATIONAL GRID PLC,20.6729,16.7196,0.5191,2.1772
NORTHWEST NATURAL GAS COMPANY,8.0516,7.9811,0.2515,1.2368
NVR Inc.,12.198,5.6706,51.1565,0.4046
NXP Semiconductors N.V.,-4.1277,-2.6388,2.2072,2.7196
National Fuel Gas Company,11.8466,14.2112,0.8873,0.7513
"O'REILLY AUTOMOTIVE, INC.",27.7828,9.4747,1.9805,0.5198
OASIS PETROLEUM INC,16.904,19.9614,3.2294,1.8802
"ONE Gas, Inc",8.0059,5.8697,-0.81,1.1896
"ONE Gas, Inc.",8.0059,5.8697,-0.81,1.1896
OSI Restaurant Partners LLC,9.2246,5.5028,-3.0781,0.1494
Orange,7.7346,2.537,-1.9019,1.2084
PHILLIPS 66,19.6242,2.3002,-1.1413,0.3352
"PNM RESOURCES, INC.",6.6009,7.2415,1.3078,1.0752
PPL CORPORATION,14.2027,12.4629,0.2019,1.9173
Phibro Animal Health Corporation,-36.1064,3.8109,-1.003,-5.3034
Pinnacle West Capital Corporation,10.1364,11.7545,-0.1875,0.8041
Post Holdings Inc.,1.0143,0.9477,-0.5618,0.9399
RELX Inc.,49.4017,18.3927,0.956,1.3541
Ross Stores Inc.,41.7129,8.1845,0.1693,0.0747
SAP SE,19.9229,17.399,0.1095,0.3703
SONY CORPORATION,-2.4735,-1.6527,1.6829,0.7212
Sanmina Corp.,7.2695,1.341,1.1422,0.5358
Seagate Technology HDD Holdings,55.4379,11.4398,-0.6046,1.3842
Southwestern Energy Co.,19.4368,20.884,0.6927,0.5387
Steel Dynamics Inc.,5.9836,2.2434,-0.1773,0.9261
"SunCoke Energy, Inc.",14.2634,5.2984,0.6013,1.2583
Sysco Corp.,19.1152,2.2346,0.1665,0.5564
TRANSALTA CORP,4.2249,-0.1743,0.6028,1.2699
Tata Motors Limited,-24.0559,-12.9457,0.0432,0.7406
Tata Motors Ltd.,-24.0559,-12.9457,0.0432,0.7406
Telecom Argentina S.A.,18.2895,11.8975,1.0737,0.0195
"Texas Gas Transmission, LLC",20.0056,17.4109,0.0613,0.4773
Trimble Inc.,9.9145,9.3652,0.369,0.4762
"Twitter, Inc.",-21.8753,-97.0571,0.2453,0.067
Tyson Foods Inc.,13.605,2.2633,0.3723,0.3863
"Tyson Foods, Inc.",13.605,2.2633,0.3723,0.3863
WPP CP LLC,12.8987,8.4986,2.5818,0.5687
"Walgreens Boots Alliance, Inc.",9.8511,2.5291,-0.4693,0.2178
Wausau Paper Corp.,12.8987,8.4986,2.5818,0.5687
Weatherford International LLC,-3.8279,-2.2604,-0.0041,1.0623
Wolverine World Wide Inc,12.0038,3.7308,1.1015,1.3668
AAR Corp.,13.2422,9.5,2.8614,0.8135
ANDERSONS INC.,13.2108,1.5984,0.2478,0.5897
"Activision Blizzard, Inc.",15.2522,21.5361,0.0183,0.7087
Allegheny Technologies Inc.,-3.0454,3.8086,-0.217,0.6502
Allegion PLC,992.9731,8.2708,0.3028,68.3568
Ambev S.A.,28.3242,31.6848,-0.1248,0.0624
America Movil B.V.,20.2409,5.4394,1.3086,2.573
"America Movil, B.V.",20.2409,5.4394,1.3086,2.573
Anheuser-Busch InBev Finance Inc.,20.8305,19.5823,0.0925,0.9422
"Anheuser-Busch InBev Finance, Inc",20.8305,19.5823,0.0925,0.9422
Apache Corp.,-22.4331,-72.8731,-3.5027,0.3997
Avago Technologies Cayman Holdings Ltd.,29.5079,19.9883,3.8484,0.8214
Axalta Coating Systems Ltd.,3.1205,0.6239,-0.5589,3.2503
"Baker Hughes, A GE Company LLC",9.2419,7.0018,-0.3927,0.2207
Beacon Roofing Supply Inc.,6.5899,2.3141,-0.4783,0.3079
Bed Bath & Beyond Inc.,34.9037,8.0587,-0.2365,0.5468
Brookfield Renewable Partners L.P.,3.1899,4.0445,1.7218,0.8788
Brookfield Renewable Partners ULC,3.1899,4.0445,1.7218,0.8788
Builders FirstSource Inc.,45.1492,1.1315,0.7668,9.3259
CDK Global Inc.,23.7597,8.6455,0.1267,1.2551
CNH INDUSTRIAL NV,11.2195,2.0008,1.2108,3.9082
CNH Industrial N.V.,11.2195,2.0008,1.2108,3.9082
CPI Card Group Inc.,-73.6241,-11.9442,0.3558,4.8914
CSG Systems International Inc.,12.3648,6.0562,-0.074,0.724
California Resources Corp.,-54.9215,-34.3638,55.583,2.4358
California Resources Corporation,-54.9215,-34.3638,55.583,2.4358
Capital Product Partners L.P.,16.0784,45.7159,0.6187,0.7465
Charles River Laboratories International Inc.,19.2216,9.7636,0.9904,1.1428
Colfax Corp.,12.5363,8.0049,-0.4637,0.4584
CommScope Technologies LLC,18.1071,6.1827,0.0624,2.041
Dell Inc.,-38.1543,-2.2552,3.589,4.8743
Dell International LLC,-38.1543,-2.2552,3.589,4.8743
Diebold Nixdorf Inc.,-30.6371,-7.0314,-0.1704,0.8441
"Dollar Tree, Inc.",50.9695,7.6107,0.6842,0.6576
ENDO INTERNATIONAL PLC,2.5582,-30.2988,-0.3361,1.7675
"Entegris, Inc.",1.0538,0.8198,0.119,1.0245
Fair Isaac Corporation,20.8702,12.0255,1.2698,1.201
"Fortune Brands Home & Security, Inc.",7.8776,6.2021,0.0359,0.1342
"Group 1 Automotive, Inc.",11.0119,1.2225,5.3888,2.0609
Gulfport Energy Corp.,10.774,36.8839,2.3225,0.3064
"HERTZ GLOBAL HOLDINGS, INC",-12.5491,-0.8654,31.0842,0.5216
Halliburton Co.,21.0885,10.648,-0.1626,0.4773
Hewlett Packard Enterprise,4.4334,2.9897,-0.9967,0.0371
Hewlett Packard Enterprise Co.,4.4334,2.9897,-0.9967,0.0371
Hexcel Corp.,18.2103,11.2854,0.549,0.362
Horizon Global Corp.,8.1567,2.5091,0.7756,0.004
INTERNATIONAL SPEEDWAY,-8.5625,-23.0358,-9.6823,0.4323
"INTREPID POTASH, INC.",1.0304,2.3785,8.2501,0.1583
Jazz Pharmaceuticals Ireland Ltd,4.1807,4.9781,1.8251,0.979
Keysight Technologies Inc.,50.9753,13.3652,-0.0179,1.4291
Kraft Heinz Canada ULC,9.1603,-0.5768,1.373,0.8532
Lattice Semiconductor Corporation,5.7874,6.7126,0.4461,0.0093
Lockheed Martin Corp.,95.6765,9.0472,-1.9321,1.8065
"MACOM Technology Solutions Holdings, Inc.",-10.8563,-4.5175,-0.0713,1.5166
MASCO CORPORATION,76.9504,11.9755,-0.1222,3.0355
MPLX LP,51.6199,14.5019,1.6486,1.3909
Macquarie Infrastructure Corporation,34.9907,77.1348,0.8573,0.8055
